sample,fastq_1,fastq_2,fastq_barcode,fastq_1_md5,fastq_2_md5,fastq_barcode_md5
ERR10892239,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10892239/ERR10892239_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10892239/ERR10892239_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10892239/ERR10892239.fastq.gz,8c1090a6e312f51c0f5798c2b518992a,faef0d87d60505dba381c859e4951332,6a3fe24bf7f4d33e780970c8d5f44fad
ERR10892240,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10892240/ERR10892240_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10892240/ERR10892240_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10892240/ERR10892240.fastq.gz,e81af84797887786b038ad7286ff8078,db5d7e26724f307a6ed0dcdaabbd6e2c,061d690c426c5bceeb53c5919113d29b
ERR10892243,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/043/ERR10892243/ERR10892243_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/043/ERR10892243/ERR10892243_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/043/ERR10892243/ERR10892243.fastq.gz,158f541a0290909e50b65cff66c16e0d,e342ec45473c1cc5a0e087dcfc8f459a,1145a769b92667459c10b7d07e541399
ERR10892426,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10892426/ERR10892426_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10892426/ERR10892426_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10892426/ERR10892426.fastq.gz,ec3d1b970ba5be49caa717e97268fc9e,5565963d59cd42a55f44a13d887c8d27,1e5e1a6abe2bb4cbb8565d6a1782fde3
ERR10892428,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/028/ERR10892428/ERR10892428_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/028/ERR10892428/ERR10892428_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/028/ERR10892428/ERR10892428.fastq.gz,fe0d6d9dd4ec4c99c641a0d593032345,670a53c1fecf1cd1508202defb73228d,6c1515259ddbe7a34b6e30217866f105
ERR10892452,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10892452/ERR10892452_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10892452/ERR10892452_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10892452/ERR10892452.fastq.gz,6a5d8b019b5ec9b38f604b207e4c9796,ff69a3d4d139125c63fc92c405d797ba,86112c934def9f6221495a4b612ed5ac
ERR10892621,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/021/ERR10892621/ERR10892621_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/021/ERR10892621/ERR10892621_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/021/ERR10892621/ERR10892621.fastq.gz,81e3c890d4791d0538970ee91ef81085,9cd8a3d30e783b63155a22d4f5468190,c1eeb7ed35ff580079eacf2012f0b237
ERR10892622,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/022/ERR10892622/ERR10892622_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/022/ERR10892622/ERR10892622_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/022/ERR10892622/ERR10892622.fastq.gz,1541034aafa09e00b2cbc958d1e2817f,e4d9dc6712844938c4473ff90d593ec7,e7dea1a3157d5d2c882b8fbc9a1ce54d
ERR10892636,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10892636/ERR10892636_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10892636/ERR10892636_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10892636/ERR10892636.fastq.gz,ad537af829f0f02b13fc631c319175f9,753616b1b1d1d1c8f5ba8e9c5c1ed299,0f03c673b71397fc898ce20125cbc7bc
ERR10892727,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10892727/ERR10892727_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10892727/ERR10892727_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10892727/ERR10892727.fastq.gz,f178cc8d5cae1e658183d3f7236f90fe,d8252afe216e13c8d94f6d8948f0b827,30e9177cbe1144341624efb85e68460a
ERR10892739,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10892739/ERR10892739_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10892739/ERR10892739_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10892739/ERR10892739.fastq.gz,ab3743ea5491b028dd23ee8da28e1924,3db593697cdbd1a060a487f6ea06f3b8,1237a73713cb64dfe340047217fa055a
ERR10892757,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/057/ERR10892757/ERR10892757_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/057/ERR10892757/ERR10892757_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/057/ERR10892757/ERR10892757.fastq.gz,15995eb2db562f26eabd79e0acf13de5,41b825f13d528cf23bc423dde09e51c3,118a41fe7806285b43c16c6e993b5f8c
ERR10892760,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/060/ERR10892760/ERR10892760_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/060/ERR10892760/ERR10892760_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/060/ERR10892760/ERR10892760.fastq.gz,97cc031fe99ab026e3ea7ec46595e27b,4095d8262dccfab000f0a6e5ecaf7aa9,ff4ecf43cb67ebf8054f38103aabf0e0
ERR10892770,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/070/ERR10892770/ERR10892770_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/070/ERR10892770/ERR10892770_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/070/ERR10892770/ERR10892770.fastq.gz,f8898add15dd6389912f0e07b6fcc24b,885c25d84c875f6bab88c56aa6d045eb,f9741e655b6fd4fd76e75d89ba80c2c9
ERR10892771,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/071/ERR10892771/ERR10892771_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/071/ERR10892771/ERR10892771_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/071/ERR10892771/ERR10892771.fastq.gz,9968455f8a0a4574a855b40baa67afa1,9e35707e8a882de20d7c7b776596f8f0,597d738166e569c603bdceeefedb3686
ERR10892812,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/012/ERR10892812/ERR10892812_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/012/ERR10892812/ERR10892812_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/012/ERR10892812/ERR10892812.fastq.gz,f90e7be3d2f218db4dc64a55012316a6,c2fa7c3358de841f70a795aa0b467c08,5f66aeeeb82276d21495697e7e99d177
ERR10894136,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10894136/ERR10894136_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10894136/ERR10894136_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10894136/ERR10894136.fastq.gz,cd7dcb574f0b4bb02f81d7da0c0d779e,1f873f359d537cda03c4a50bb8ed2dad,bd8a21a88f58c460673e37163b0bb5a0
ERR10894141,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/041/ERR10894141/ERR10894141_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/041/ERR10894141/ERR10894141_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/041/ERR10894141/ERR10894141.fastq.gz,2631923352672e02399542b260aa7c97,c03fea7eeaaf0a147b4bd5574e3e5bfc,2dd3cc1c8d0038bc8b68c5ff40cd3a1e
ERR10895956,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/056/ERR10895956/ERR10895956_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/056/ERR10895956/ERR10895956_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/056/ERR10895956/ERR10895956.fastq.gz,eb0c6707e279298c3742d771325e7fcf,3115852c5210b0a266fb5d444e032bf4,cf7f8765efedd00ec822cf118a5a5b4c
ERR10895962,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10895962/ERR10895962_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10895962/ERR10895962_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10895962/ERR10895962.fastq.gz,2e7b5baf38b222709812b9e2eff81111,bc3e9209494fa4691caced7fe8c4cffb,c6a294f40679085f3f95cf9c39d00f3c
ERR10895971,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/071/ERR10895971/ERR10895971_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/071/ERR10895971/ERR10895971_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/071/ERR10895971/ERR10895971.fastq.gz,8ccf3d0f6dc5d2d50ed5457221abc500,29ae774796a4c6cf686f379024d1f659,244e49e4625f49bc11c4d80252f8235b
ERR10895977,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/077/ERR10895977/ERR10895977_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/077/ERR10895977/ERR10895977_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/077/ERR10895977/ERR10895977.fastq.gz,06f1b97fffe2d0dcb913dd36960671a1,73f250b37e87ec3f64e1f34f2f782868,89be08b5751828baec984710f262d641
ERR10896000,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/000/ERR10896000/ERR10896000_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/000/ERR10896000/ERR10896000_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/000/ERR10896000/ERR10896000.fastq.gz,e6c105c84a3c98c216743345209cb2f3,f5b93bf686af66177bba88fad89254c6,a557db0e6d1406d5f84f39cc875f617e
ERR10896025,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/025/ERR10896025/ERR10896025_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/025/ERR10896025/ERR10896025_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/025/ERR10896025/ERR10896025.fastq.gz,473b06e8361132a8c64401ce1bc9b96a,8164081ab6eacbac9d0a2f2eccdf19c2,971ca6a1d68243f0b3f3cc6025c3a46a
ERR10896054,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/054/ERR10896054/ERR10896054_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/054/ERR10896054/ERR10896054_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/054/ERR10896054/ERR10896054.fastq.gz,39733a048c73e3106de8f7f2e2221e98,1047cbd539296b1f5b2d5cec4336e95d,79d482bc44ba1777952d18fdaf0b121f
